차종,제조사,모델명,국비 (만원),지방비 (만원),보조금 (만원),text,연도,행정구역
일반승용(수소),현대자동차,넥쏘,2250,1200,3450,2022년도 수소자동차 부산광역시 모델별 보조금,2022,부산광역시
승합(수소 대형),현대자동차,일렉시티 FCEV,15000,15000,30000,2022년도 수소자동차 부산광역시 모델별 보조금,2022,부산광역시
일반승용(수소),현대자동차,넥쏘,2250,1000,3250,2022년도 수소자동차 대구광역시 모델별 보조금,2022,대구광역시
승합(수소 대형),현대자동차,일렉시티 FCEV,15000,0,15000,2022년도 수소자동차 대구광역시 모델별 보조금,2022,대구광역시
일반승용(수소),현대자동차,넥쏘,2250,1000,3250,2022년도 수소자동차 인천광역시 모델별 보조금,2022,인천광역시
화물(수소 대형),현대자동차,엑시언트 수소전기트럭 윙바디,25000,0,25000,2022년도 수소자동차 인천광역시 모델별 보조금,2022,인천광역시
승합(수소 대형),현대자동차,일렉시티 FCEV,15000,15000,30000,2022년도 수소자동차 인천광역시 모델별 보조금,2022,인천광역시
승합(수소 대형),현대자동차,유니버스 수소전기버스,20000,15000,35000,2022년도 수소자동차 인천광역시 모델별 보조금,2022,인천광역시
일반승용(수소),현대자동차,넥쏘,2250,1000,3250,2022년도 수소자동차 광주광역시 모델별 보조금,2022,광주광역시
승합(수소 대형),현대자동차,일렉시티 FCEV,15000,0,15000,2022년도 수소자동차 광주광역시 모델별 보조금,2022,광주광역시
일반승용(수소),현대자동차,넥쏘,2250,1000,3250,2022년도 수소자동차 대전광역시 모델별 보조금,2022,대전광역시
승합(수소 대형),현대자동차,일렉시티 FCEV,15000,0,15000,2022년도 수소자동차 대전광역시 모델별 보조금,2022,대전광역시
일반승용(수소),현대자동차,넥쏘,2250,1150,3400,2022년도 수소자동차 울산광역시 모델별 보조금,2022,울산광역시
승합(수소 대형),현대자동차,일렉시티 FCEV,15000,0,15000,2022년도 수소자동차 울산광역시 모델별 보조금,2022,울산광역시
일반승용(수소),현대자동차,넥쏘,2250,1000,3250,2022년도 수소자동차 세종특별자치시 모델별 보조금,2022,세종특별자치시
승합(수소 대형),현대자동차,일렉시티 FCEV,15000,0,15000,2022년도 수소자동차 세종특별자치시 모델별 보조금,2022,세종특별자치시
일반승용(수소),현대자동차,넥쏘,2250,1000,3250,2022년도 수소자동차 수원시 모델별 보조금,2022,수원시
승합(수소 대형),현대자동차,일렉시티 FCEV,15000,0,15000,2022년도 수소자동차 수원시 모델별 보조금,2022,수원시
일반승용(수소),현대자동차,넥쏘,2250,1250,3500,2022년도 수소자동차 성남시 모델별 보조금,2022,성남시
승합(수소 대형),현대자동차,일렉시티 FCEV,15000,0,15000,2022년도 수소자동차 성남시 모델별 보조금,2022,성남시
일반승용(수소),현대자동차,넥쏘,2250,1000,3250,2022년도 수소자동차 의정부시 모델별 보조금,2022,의정부시
승합(수소 대형),현대자동차,일렉시티 FCEV,15000,0,15000,2022년도 수소자동차 의정부시 모델별 보조금,2022,의정부시
일반승용(수소),현대자동차,넥쏘,2250,1000,3250,2022년도 수소자동차 안양시 모델별 보조금,2022,안양시
승합(수소 대형),현대자동차,일렉시티 FCEV,15000,0,15000,2022년도 수소자동차 안양시 모델별 보조금,2022,안양시
일반승용(수소),현대자동차,넥쏘,2250,1000,3250,2022년도 수소자동차 부천시 모델별 보조금,2022,부천시
승합(수소 대형),현대자동차,일렉시티 FCEV,15000,0,15000,2022년도 수소자동차 부천시 모델별 보조금,2022,부천시
일반승용(수소),현대자동차,넥쏘,2250,1000,3250,2022년도 수소자동차 광명시 모델별 보조금,2022,광명시
승합(수소 대형),현대자동차,일렉시티 FCEV,15000,0,15000,2022년도 수소자동차 광명시 모델별 보조금,2022,광명시
일반승용(수소),현대자동차,넥쏘,2250,1250,3500,2022년도 수소자동차 평택시 모델별 보조금,2022,평택시
승합(수소 대형),현대자동차,일렉시티 FCEV,15000,0,15000,2022년도 수소자동차 평택시 모델별 보조금,2022,평택시
일반승용(수소),현대자동차,넥쏘,2250,1000,3250,2022년도 수소자동차 동두천시 모델별 보조금,2022,동두천시
승합(수소 대형),현대자동차,일렉시티 FCEV,15000,0,15000,2022년도 수소자동차 동두천시 모델별 보조금,2022,동두천시
일반승용(수소),현대자동차,넥쏘,2250,1250,3500,2022년도 수소자동차 안산시 모델별 보조금,2022,안산시
승합(수소 대형),현대자동차,일렉시티 FCEV,15000,15000,30000,2022년도 수소자동차 안산시 모델별 보조금,2022,안산시
일반승용(수소),현대자동차,넥쏘,2250,1000,3250,2022년도 수소자동차 고양시 모델별 보조금,2022,고양시
화물(수소 대형),현대자동차,엑시언트 수소전기트럭 윙바디,25000,0,25000,2022년도 수소자동차 고양시 모델별 보조금,2022,고양시
승합(수소 대형),현대자동차,일렉시티 FCEV,15000,0,15000,2022년도 수소자동차 고양시 모델별 보조금,2022,고양시
승합(수소 대형),현대자동차,유니버스 수소전기버스,20000,0,20000,2022년도 수소자동차 고양시 모델별 보조금,2022,고양시
일반승용(수소),현대자동차,넥쏘,2250,1000,3250,2022년도 수소자동차 과천시 모델별 보조금,2022,과천시
승합(수소 대형),현대자동차,일렉시티 FCEV,15000,0,15000,2022년도 수소자동차 과천시 모델별 보조금,2022,과천시
일반승용(수소),현대자동차,넥쏘,2250,1000,3250,2022년도 수소자동차 구리시 모델별 보조금,2022,구리시
승합(수소 대형),현대자동차,일렉시티 FCEV,15000,0,15000,2022년도 수소자동차 구리시 모델별 보조금,2022,구리시
일반승용(수소),현대자동차,넥쏘,2250,1000,3250,2022년도 수소자동차 남양주시 모델별 보조금,2022,남양주시
승합(수소 대형),현대자동차,일렉시티 FCEV,15000,0,15000,2022년도 수소자동차 남양주시 모델별 보조금,2022,남양주시
일반승용(수소),현대자동차,넥쏘,2250,1000,3250,2022년도 수소자동차 오산시 모델별 보조금,2022,오산시
승합(수소 대형),현대자동차,일렉시티 FCEV,15000,0,15000,2022년도 수소자동차 오산시 모델별 보조금,2022,오산시
일반승용(수소),현대자동차,넥쏘,2250,1000,3250,2022년도 수소자동차 시흥시 모델별 보조금,2022,시흥시
승합(수소 대형),현대자동차,일렉시티 FCEV,15000,0,15000,2022년도 수소자동차 시흥시 모델별 보조금,2022,시흥시
일반승용(수소),현대자동차,넥쏘,2250,1000,3250,2022년도 수소자동차 군포시 모델별 보조금,2022,군포시
승합(수소 대형),현대자동차,일렉시티 FCEV,15000,0,15000,2022년도 수소자동차 군포시 모델별 보조금,2022,군포시
일반승용(수소),현대자동차,넥쏘,2250,1000,3250,2022년도 수소자동차 의왕시 모델별 보조금,2022,의왕시
승합(수소 대형),현대자동차,일렉시티 FCEV,15000,0,15000,2022년도 수소자동차 의왕시 모델별 보조금,2022,의왕시
일반승용(수소),현대자동차,넥쏘,2250,1000,3250,2022년도 수소자동차 하남시 모델별 보조금,2022,하남시
승합(수소 대형),현대자동차,일렉시티 FCEV,15000,0,15000,2022년도 수소자동차 하남시 모델별 보조금,2022,하남시
일반승용(수소),현대자동차,넥쏘,2250,1000,3250,2022년도 수소자동차 용인시 모델별 보조금,2022,용인시
승합(수소 대형),현대자동차,일렉시티 FCEV,15000,15000,30000,2022년도 수소자동차 용인시 모델별 보조금,2022,용인시
일반승용(수소),현대자동차,넥쏘,2250,1000,3250,2022년도 수소자동차 파주시 모델별 보조금,2022,파주시
승합(수소 대형),현대자동차,일렉시티 FCEV,15000,0,15000,2022년도 수소자동차 파주시 모델별 보조금,2022,파주시
일반승용(수소),현대자동차,넥쏘,2250,1000,3250,2022년도 수소자동차 이천시 모델별 보조금,2022,이천시
승합(수소 대형),현대자동차,일렉시티 FCEV,15000,0,15000,2022년도 수소자동차 이천시 모델별 보조금,2022,이천시
일반승용(수소),현대자동차,넥쏘,2250,1250,3500,2022년도 수소자동차 안성시 모델별 보조금,2022,안성시
승합(수소 대형),현대자동차,일렉시티 FCEV,15000,0,15000,2022년도 수소자동차 안성시 모델별 보조금,2022,안성시
일반승용(수소),현대자동차,넥쏘,2250,1000,3250,2022년도 수소자동차 김포시 모델별 보조금,2022,김포시
승합(수소 대형),현대자동차,일렉시티 FCEV,15000,0,15000,2022년도 수소자동차 김포시 모델별 보조금,2022,김포시
일반승용(수소),현대자동차,넥쏘,2250,1750,4000,2022년도 수소자동차 화성시 모델별 보조금,2022,화성시
승합(수소 대형),현대자동차,일렉시티 FCEV,15000,0,15000,2022년도 수소자동차 화성시 모델별 보조금,2022,화성시
일반승용(수소),현대자동차,넥쏘,2250,1000,3250,2022년도 수소자동차 광주시 모델별 보조금,2022,광주시
승합(수소 대형),현대자동차,일렉시티 FCEV,15000,0,15000,2022년도 수소자동차 광주시 모델별 보조금,2022,광주시
일반승용(수소),현대자동차,넥쏘,2250,1000,3250,2022년도 수소자동차 양주시 모델별 보조금,2022,양주시
승합(수소 대형),현대자동차,일렉시티 FCEV,15000,15000,30000,2022년도 수소자동차 양주시 모델별 보조금,2022,양주시
일반승용(수소),현대자동차,넥쏘,2250,1000,3250,2022년도 수소자동차 포천시 모델별 보조금,2022,포천시
승합(수소 대형),현대자동차,일렉시티 FCEV,15000,0,15000,2022년도 수소자동차 포천시 모델별 보조금,2022,포천시
일반승용(수소),현대자동차,넥쏘,2250,1000,3250,2022년도 수소자동차 여주시 모델별 보조금,2022,여주시
승합(수소 대형),현대자동차,일렉시티 FCEV,15000,0,15000,2022년도 수소자동차 여주시 모델별 보조금,2022,여주시
일반승용(수소),현대자동차,넥쏘,2250,1000,3250,2022년도 수소자동차 가평군 모델별 보조금,2022,가평군
승합(수소 대형),현대자동차,일렉시티 FCEV,15000,0,15000,2022년도 수소자동차 가평군 모델별 보조금,2022,가평군
일반승용(수소),현대자동차,넥쏘,2250,1000,3250,2022년도 수소자동차 양평군 모델별 보조금,2022,양평군
승합(수소 대형),현대자동차,일렉시티 FCEV,15000,0,15000,2022년도 수소자동차 양평군 모델별 보조금,2022,양평군
일반승용(수소),현대자동차,넥쏘,2250,1300,3550,2022년도 수소자동차 춘천시 모델별 보조금,2022,춘천시
승합(수소 대형),현대자동차,일렉시티 FCEV,15000,25000,40000,2022년도 수소자동차 춘천시 모델별 보조금,2022,춘천시
일반승용(수소),현대자동차,넥쏘,2250,1300,3550,2022년도 수소자동차 원주시 모델별 보조금,2022,원주시
승합(수소 대형),현대자동차,일렉시티 FCEV,15000,0,15000,2022년도 수소자동차 원주시 모델별 보조금,2022,원주시
일반승용(수소),현대자동차,넥쏘,2250,1300,3550,2022년도 수소자동차 강릉시 모델별 보조금,2022,강릉시
승합(수소 대형),현대자동차,일렉시티 FCEV,15000,0,15000,2022년도 수소자동차 강릉시 모델별 보조금,2022,강릉시
일반승용(수소),현대자동차,넥쏘,2250,1300,3550,2022년도 수소자동차 동해시 모델별 보조금,2022,동해시
승합(수소 대형),현대자동차,일렉시티 FCEV,15000,0,15000,2022년도 수소자동차 동해시 모델별 보조금,2022,동해시
