차종,제조사,모델명,국비 (만원),지방비 (만원),보조금 (만원),text,연도,행정구역
화물(초소형),마스타전기차,MASTA VAN,400,150.0,550.0,2024년도 전기자동차 부산광역시 모델별 보조금,2024,부산광역시
화물(초소형),마스타전기차,MASTA HIM,400,150.0,550.0,2024년도 전기자동차 부산광역시 모델별 보조금,2024,부산광역시
화물(초소형),디피코,포트로-탑,400,150.0,550.0,2024년도 전기자동차 부산광역시 모델별 보조금,2024,부산광역시
화물(초소형),디피코,포트로-픽업,400,150.0,550.0,2024년도 전기자동차 부산광역시 모델별 보조금,2024,부산광역시
화물(초소형),디피코,포트로-탑S,400,150.0,550.0,2024년도 전기자동차 부산광역시 모델별 보조금,2024,부산광역시
화물(초소형),디피코,포트로-픽업S,400,150.0,550.0,2024년도 전기자동차 부산광역시 모델별 보조금,2024,부산광역시
화물(초소형),마이브,베프,400,150.0,550.0,2024년도 전기자동차 부산광역시 모델별 보조금,2024,부산광역시
화물(경형),디피코,포트로350L-탑,788,246.0,1034.0,2024년도 전기자동차 부산광역시 모델별 보조금,2024,부산광역시
화물(경형),디피코,포트로350L-픽업,788,246.0,1034.0,2024년도 전기자동차 부산광역시 모델별 보조금,2024,부산광역시
화물(소형),파워프라자,봉고3ev PEACE,554,176.0,730.0,2024년도 전기자동차 부산광역시 모델별 보조금,2024,부산광역시
화물(소형),파워프라자,봉고3ev PEACE 더블캡,481,153.0,634.0,2024년도 전기자동차 부산광역시 모델별 보조금,2024,부산광역시
화물(소형),현대자동차,포터Ⅱ 일렉트릭(23MY),1090,384.0,1474.0,2024년도 전기자동차 부산광역시 모델별 보조금,2024,부산광역시
화물(소형),현대자동차,포터Ⅱ 일렉트릭(24MY),1090,384.0,1474.0,2024년도 전기자동차 부산광역시 모델별 보조금,2024,부산광역시
화물(소형),현대자동차,ST1 기본형 카고 17인치,1100,400.0,1500.0,2024년도 전기자동차 부산광역시 모델별 보조금,2024,부산광역시
화물(소형),현대자동차,ST1 기본형 카고 냉동 17인치,1450,400.0,1850.0,2024년도 전기자동차 부산광역시 모델별 보조금,2024,부산광역시
화물(소형),현대자동차,ST1 기본형 하이탑 17인치,1100,400.0,1500.0,2024년도 전기자동차 부산광역시 모델별 보조금,2024,부산광역시
화물(소형),기아,봉고 전기차,1130,334.0,1464.0,2024년도 전기자동차 부산광역시 모델별 보조금,2024,부산광역시
화물(소형),기아,봉고 전기차 냉동탑차,1330,350.0,1680.0,2024년도 전기자동차 부산광역시 모델별 보조금,2024,부산광역시
화물(소형),기아,봉고 전기차 저상형 냉동탑차,1330,350.0,1680.0,2024년도 전기자동차 부산광역시 모델별 보조금,2024,부산광역시
화물(소형),일진정공,일진무시동전기냉동탑차(149.9km),916,291.0,1207.0,2024년도 전기자동차 부산광역시 모델별 보조금,2024,부산광역시
화물(소형),일진정공,일진무시동전기냉동탑차(186.1km),1169,350.0,1519.0,2024년도 전기자동차 부산광역시 모델별 보조금,2024,부산광역시
화물(소형),일진정공,일진무시동전기냉동탑차(봉고),1379,400.0,1779.0,2024년도 전기자동차 부산광역시 모델별 보조금,2024,부산광역시
화물(소형),일진정공,일진무시동전기냉동탑차(포터),1363,400.0,1763.0,2024년도 전기자동차 부산광역시 모델별 보조금,2024,부산광역시
화물(소형),루트17,다니고C(0.8톤 전기트럭),1068,360.0,1428.0,2024년도 전기자동차 부산광역시 모델별 보조금,2024,부산광역시
화물(소형),루트17,다니고C2(0.8톤 전기트럭),268,85.0,353.0,2024년도 전기자동차 부산광역시 모델별 보조금,2024,부산광역시
화물(소형),루트17,다니고R(전기냉동탑차),1224,350.0,1574.0,2024년도 전기자동차 부산광역시 모델별 보조금,2024,부산광역시
화물(소형),루트17,다니고R2(무시동 전기냉동탑차),1123,335.0,1458.0,2024년도 전기자동차 부산광역시 모델별 보조금,2024,부산광역시
화물(소형),루트17,e-TOVI,464,197.0,661.0,2024년도 전기자동차 부산광역시 모델별 보조금,2024,부산광역시
화물(소형),이브이케이엠씨,MASADA 픽업,295,143.0,438.0,2024년도 전기자동차 부산광역시 모델별 보조금,2024,부산광역시
화물(소형),이브이케이엠씨,MASADA 3세대 2밴,274,87.0,361.0,2024년도 전기자동차 부산광역시 모델별 보조금,2024,부산광역시
화물(소형),이브이케이엠씨,MASADA 3세대 4밴,246,78.0,324.0,2024년도 전기자동차 부산광역시 모델별 보조금,2024,부산광역시
화물(소형),이브이케이엠씨,MASADA 2밴,299,145.0,444.0,2024년도 전기자동차 부산광역시 모델별 보조금,2024,부산광역시
화물(소형),이브이케이엠씨,MASADA 4밴,269,135.0,404.0,2024년도 전기자동차 부산광역시 모델별 보조금,2024,부산광역시
화물(소형),이브이케이엠씨,EC35 2밴,194,61.0,255.0,2024년도 전기자동차 부산광역시 모델별 보조금,2024,부산광역시
화물(소형),제이스모빌리티,이티밴,405,128.0,533.0,2024년도 전기자동차 부산광역시 모델별 보조금,2024,부산광역시
화물(소형),제이스모빌리티,이티4밴,364,115.0,479.0,2024년도 전기자동차 부산광역시 모델별 보조금,2024,부산광역시
화물(소형),제이스모빌리티,이티밴 미니 2인승,412,181.0,593.0,2024년도 전기자동차 부산광역시 모델별 보조금,2024,부산광역시
화물(소형),제이스모빌리티,이티밴 미니 4인승,412,181.0,593.0,2024년도 전기자동차 부산광역시 모델별 보조금,2024,부산광역시
화물(소형),제이스모빌리티,이티밴 프로 2인승,412,181.0,593.0,2024년도 전기자동차 부산광역시 모델별 보조금,2024,부산광역시
화물(소형),제이스모빌리티,이티밴 프로 4인승,412,181.0,593.0,2024년도 전기자동차 부산광역시 모델별 보조금,2024,부산광역시
화물(소형),오텍,오텍 무시동 전기 냉동탑차(봉고),1118,350.0,1468.0,2024년도 전기자동차 부산광역시 모델별 보조금,2024,부산광역시
화물(소형),이엔플러스,이엔1톤롱바디카고,850,270.0,1120.0,2024년도 전기자동차 부산광역시 모델별 보조금,2024,부산광역시
화물(소형),이엔플러스,이엔플러스EV1톤롱바디트럭,895,284.0,1179.0,2024년도 전기자동차 부산광역시 모델별 보조금,2024,부산광역시
화물(소형),GS글로벌,T4K,462,197.0,659.0,2024년도 전기자동차 부산광역시 모델별 보조금,2024,부산광역시
화물(소형),GS글로벌,T4K 냉동탑차,711,276.0,987.0,2024년도 전기자동차 부산광역시 모델별 보조금,2024,부산광역시
화물(소형),에스에스라이트,젤라,336,106.0,442.0,2024년도 전기자동차 부산광역시 모델별 보조금,2024,부산광역시
화물(소형),에스에스라이트,젤라 P200,478,152.0,630.0,2024년도 전기자동차 부산광역시 모델별 보조금,2024,부산광역시
화물(소형),한국쓰리축,한국쓰리축1톤롱바디EV트럭(봉고),837,266.0,1103.0,2024년도 전기자동차 부산광역시 모델별 보조금,2024,부산광역시
화물(소형),한국쓰리축,한국쓰리축1톤롱바디EV트럭(포터),855,272.0,1127.0,2024년도 전기자동차 부산광역시 모델별 보조금,2024,부산광역시
화물(소형),모빌리티네트웍스,SE-A2밴,333,155.0,488.0,2024년도 전기자동차 부산광역시 모델별 보조금,2024,부산광역시
화물(소형),피닉스코리아,썬라이즈-T01,412,181.0,593.0,2024년도 전기자동차 부산광역시 모델별 보조금,2024,부산광역시
화물(소형),케이지모빌리티,토레스 EVX VAN 20인치,392,201.0,593.0,2024년도 전기자동차 부산광역시 모델별 보조금,2024,부산광역시
화물(소형),케이지모빌리티,토레스 EVX VAN 18인치,394,202.0,596.0,2024년도 전기자동차 부산광역시 모델별 보조금,2024,부산광역시
화물(소형),한국상용트럭,한국상용1톤롱바디EV카고트럭,818,260.0,1078.0,2024년도 전기자동차 부산광역시 모델별 보조금,2024,부산광역시
화물(소형),한국상용트럭,한국상용0.9톤롱바디EV내장탑트럭,593,188.0,781.0,2024년도 전기자동차 부산광역시 모델별 보조금,2024,부산광역시
화물(소형),센트로에이케이,E-CV1,282,89.0,371.0,2024년도 전기자동차 부산광역시 모델별 보조금,2024,부산광역시
화물(소형),파츠몰에이투지,SW40,412,181.0,593.0,2024년도 전기자동차 부산광역시 모델별 보조금,2024,부산광역시
화물(소형),이브이앤솔루션,STEGO-Z,540,171.0,711.0,2024년도 전기자동차 부산광역시 모델별 보조금,2024,부산광역시
화물(초소형),마스타전기차,MASTA VAN,400,190.0,590.0,2024년도 전기자동차 대구광역시 모델별 보조금,2024,대구광역시
화물(초소형),마스타전기차,MASTA HIM,400,190.0,590.0,2024년도 전기자동차 대구광역시 모델별 보조금,2024,대구광역시
화물(초소형),디피코,포트로-탑,400,190.0,590.0,2024년도 전기자동차 대구광역시 모델별 보조금,2024,대구광역시
화물(초소형),디피코,포트로-픽업,400,190.0,590.0,2024년도 전기자동차 대구광역시 모델별 보조금,2024,대구광역시
화물(초소형),디피코,포트로-탑S,400,190.0,590.0,2024년도 전기자동차 대구광역시 모델별 보조금,2024,대구광역시
화물(초소형),디피코,포트로-픽업S,400,190.0,590.0,2024년도 전기자동차 대구광역시 모델별 보조금,2024,대구광역시
화물(초소형),마이브,베프,400,190.0,590.0,2024년도 전기자동차 대구광역시 모델별 보조금,2024,대구광역시
화물(경형),디피코,포트로350L-탑,788,315.0,1103.0,2024년도 전기자동차 대구광역시 모델별 보조금,2024,대구광역시
화물(경형),디피코,포트로350L-픽업,788,315.0,1103.0,2024년도 전기자동차 대구광역시 모델별 보조금,2024,대구광역시
화물(소형),파워프라자,봉고3ev PEACE,554,176.0,730.0,2024년도 전기자동차 대구광역시 모델별 보조금,2024,대구광역시
화물(소형),파워프라자,봉고3ev PEACE 더블캡,481,153.0,634.0,2024년도 전기자동차 대구광역시 모델별 보조금,2024,대구광역시
화물(소형),현대자동차,포터Ⅱ 일렉트릭(23MY),1090,384.0,1474.0,2024년도 전기자동차 대구광역시 모델별 보조금,2024,대구광역시
화물(소형),현대자동차,포터Ⅱ 일렉트릭(24MY),1090,384.0,1474.0,2024년도 전기자동차 대구광역시 모델별 보조금,2024,대구광역시
화물(소형),현대자동차,ST1 기본형 카고 17인치,1100,400.0,1500.0,2024년도 전기자동차 대구광역시 모델별 보조금,2024,대구광역시
화물(소형),현대자동차,ST1 기본형 카고 냉동 17인치,1450,511.0,1961.0,2024년도 전기자동차 대구광역시 모델별 보조금,2024,대구광역시
화물(소형),현대자동차,ST1 기본형 하이탑 17인치,1100,400.0,1500.0,2024년도 전기자동차 대구광역시 모델별 보조금,2024,대구광역시
화물(소형),기아,봉고 전기차,1130,334.0,1464.0,2024년도 전기자동차 대구광역시 모델별 보조금,2024,대구광역시
화물(소형),기아,봉고 전기차 냉동탑차,1330,401.0,1731.0,2024년도 전기자동차 대구광역시 모델별 보조금,2024,대구광역시
화물(소형),기아,봉고 전기차 저상형 냉동탑차,1330,401.0,1731.0,2024년도 전기자동차 대구광역시 모델별 보조금,2024,대구광역시
화물(소형),일진정공,일진무시동전기냉동탑차(149.9km),916,291.0,1207.0,2024년도 전기자동차 대구광역시 모델별 보조금,2024,대구광역시
화물(소형),일진정공,일진무시동전기냉동탑차(186.1km),1169,371.0,1540.0,2024년도 전기자동차 대구광역시 모델별 보조금,2024,대구광역시
화물(소형),일진정공,일진무시동전기냉동탑차(봉고),1379,415.0,1794.0,2024년도 전기자동차 대구광역시 모델별 보조금,2024,대구광역시
화물(소형),일진정공,일진무시동전기냉동탑차(포터),1363,410.0,1773.0,2024년도 전기자동차 대구광역시 모델별 보조금,2024,대구광역시
화물(소형),루트17,다니고C(0.8톤 전기트럭),1068,360.0,1428.0,2024년도 전기자동차 대구광역시 모델별 보조금,2024,대구광역시
화물(소형),루트17,다니고C2(0.8톤 전기트럭),268,85.0,353.0,2024년도 전기자동차 대구광역시 모델별 보조금,2024,대구광역시
화물(소형),루트17,다니고R(전기냉동탑차),1224,364.0,1588.0,2024년도 전기자동차 대구광역시 모델별 보조금,2024,대구광역시
화물(소형),루트17,다니고R2(무시동 전기냉동탑차),1123,335.0,1458.0,2024년도 전기자동차 대구광역시 모델별 보조금,2024,대구광역시
화물(소형),루트17,e-TOVI,464,197.0,661.0,2024년도 전기자동차 대구광역시 모델별 보조금,2024,대구광역시
화물(소형),이브이케이엠씨,MASADA 픽업,295,143.0,438.0,2024년도 전기자동차 대구광역시 모델별 보조금,2024,대구광역시
화물(소형),이브이케이엠씨,MASADA 3세대 2밴,274,137.0,411.0,2024년도 전기자동차 대구광역시 모델별 보조금,2024,대구광역시
화물(소형),이브이케이엠씨,MASADA 3세대 4밴,246,128.0,374.0,2024년도 전기자동차 대구광역시 모델별 보조금,2024,대구광역시
화물(소형),이브이케이엠씨,MASADA 2밴,299,145.0,444.0,2024년도 전기자동차 대구광역시 모델별 보조금,2024,대구광역시
화물(소형),이브이케이엠씨,MASADA 4밴,269,135.0,404.0,2024년도 전기자동차 대구광역시 모델별 보조금,2024,대구광역시
화물(소형),이브이케이엠씨,EC35 2밴,194,61.0,255.0,2024년도 전기자동차 대구광역시 모델별 보조금,2024,대구광역시
화물(소형),제이스모빌리티,이티밴,405,128.0,533.0,2024년도 전기자동차 대구광역시 모델별 보조금,2024,대구광역시
화물(소형),제이스모빌리티,이티4밴,364,115.0,479.0,2024년도 전기자동차 대구광역시 모델별 보조금,2024,대구광역시
화물(소형),제이스모빌리티,이티밴 미니 2인승,412,181.0,593.0,2024년도 전기자동차 대구광역시 모델별 보조금,2024,대구광역시
화물(소형),제이스모빌리티,이티밴 미니 4인승,412,181.0,593.0,2024년도 전기자동차 대구광역시 모델별 보조금,2024,대구광역시
화물(소형),제이스모빌리티,이티밴 프로 2인승,412,181.0,593.0,2024년도 전기자동차 대구광역시 모델별 보조금,2024,대구광역시
화물(소형),제이스모빌리티,이티밴 프로 4인승,412,181.0,593.0,2024년도 전기자동차 대구광역시 모델별 보조금,2024,대구광역시
화물(소형),오텍,오텍 무시동 전기 냉동탑차(봉고),1118,355.0,1473.0,2024년도 전기자동차 대구광역시 모델별 보조금,2024,대구광역시
화물(소형),이엔플러스,이엔1톤롱바디카고,850,270.0,1120.0,2024년도 전기자동차 대구광역시 모델별 보조금,2024,대구광역시
화물(소형),이엔플러스,이엔플러스EV1톤롱바디트럭,895,284.0,1179.0,2024년도 전기자동차 대구광역시 모델별 보조금,2024,대구광역시
화물(소형),GS글로벌,T4K,462,197.0,659.0,2024년도 전기자동차 대구광역시 모델별 보조금,2024,대구광역시
화물(소형),GS글로벌,T4K 냉동탑차,711,276.0,987.0,2024년도 전기자동차 대구광역시 모델별 보조금,2024,대구광역시
화물(소형),에스에스라이트,젤라,336,106.0,442.0,2024년도 전기자동차 대구광역시 모델별 보조금,2024,대구광역시
화물(소형),에스에스라이트,젤라 P200,478,152.0,630.0,2024년도 전기자동차 대구광역시 모델별 보조금,2024,대구광역시
화물(소형),한국쓰리축,한국쓰리축1톤롱바디EV트럭(봉고),837,266.0,1103.0,2024년도 전기자동차 대구광역시 모델별 보조금,2024,대구광역시
화물(소형),한국쓰리축,한국쓰리축1톤롱바디EV트럭(포터),855,272.0,1127.0,2024년도 전기자동차 대구광역시 모델별 보조금,2024,대구광역시
화물(소형),모빌리티네트웍스,SE-A2밴,333,155.0,488.0,2024년도 전기자동차 대구광역시 모델별 보조금,2024,대구광역시
화물(소형),피닉스코리아,썬라이즈-T01,412,131.0,543.0,2024년도 전기자동차 대구광역시 모델별 보조금,2024,대구광역시
화물(소형),케이지모빌리티,토레스 EVX VAN 20인치,392,180.0,572.0,2024년도 전기자동차 대구광역시 모델별 보조금,2024,대구광역시
화물(소형),케이지모빌리티,토레스 EVX VAN 18인치,394,181.0,575.0,2024년도 전기자동차 대구광역시 모델별 보조금,2024,대구광역시
화물(소형),한국상용트럭,한국상용1톤롱바디EV카고트럭,818,260.0,1078.0,2024년도 전기자동차 대구광역시 모델별 보조금,2024,대구광역시
화물(소형),한국상용트럭,한국상용0.9톤롱바디EV내장탑트럭,593,188.0,781.0,2024년도 전기자동차 대구광역시 모델별 보조금,2024,대구광역시
화물(소형),센트로에이케이,E-CV1,282,89.0,371.0,2024년도 전기자동차 대구광역시 모델별 보조금,2024,대구광역시
화물(소형),파츠몰에이투지,SW40,412,181.0,593.0,2024년도 전기자동차 대구광역시 모델별 보조금,2024,대구광역시
화물(소형),이브이앤솔루션,STEGO-Z,540,171.0,711.0,2024년도 전기자동차 대구광역시 모델별 보조금,2024,대구광역시
화물(초소형),마스타전기차,MASTA VAN,400,203.0,603.0,2024년도 전기자동차 인천광역시 모델별 보조금,2024,인천광역시
