차종,제조사,모델명,국비 (만원),지방비 (만원),보조금 (만원),text,연도,행정구역
화물(초소형),스마트솔루션즈,D2C,550,200.0,750.0,2023년도 전기자동차 부산광역시 모델별 보조금,2023,부산광역시
화물(초소형),스마트솔루션즈,D2P,550,200.0,750.0,2023년도 전기자동차 부산광역시 모델별 보조금,2023,부산광역시
화물(초소형),루트17,다니고3,550,200.0,750.0,2023년도 전기자동차 부산광역시 모델별 보조금,2023,부산광역시
화물(초소형),루트17,다니고3 픽업,550,200.0,750.0,2023년도 전기자동차 부산광역시 모델별 보조금,2023,부산광역시
화물(초소형),마스타전기차,MASTA VAN,550,200.0,750.0,2023년도 전기자동차 부산광역시 모델별 보조금,2023,부산광역시
화물(초소형),마스타전기차,MASTA HIM,550,200.0,750.0,2023년도 전기자동차 부산광역시 모델별 보조금,2023,부산광역시
화물(초소형),디피코,포트로-탑,550,200.0,750.0,2023년도 전기자동차 부산광역시 모델별 보조금,2023,부산광역시
화물(초소형),디피코,포트로-픽업,550,200.0,750.0,2023년도 전기자동차 부산광역시 모델별 보조금,2023,부산광역시
화물(초소형),디피코,포트로-탑S,550,200.0,750.0,2023년도 전기자동차 부산광역시 모델별 보조금,2023,부산광역시
화물(초소형),디피코,포트로-픽업S,550,200.0,750.0,2023년도 전기자동차 부산광역시 모델별 보조금,2023,부산광역시
화물(초소형),진우에스엠씨,포텐스,550,200.0,750.0,2023년도 전기자동차 부산광역시 모델별 보조금,2023,부산광역시
화물(경형),파워프라자,라보ev PEACE,900,300.0,1200.0,2023년도 전기자동차 부산광역시 모델별 보조금,2023,부산광역시
화물(경형),디피코,포트로350L-탑,900,300.0,1200.0,2023년도 전기자동차 부산광역시 모델별 보조금,2023,부산광역시
화물(경형),디피코,포트로350L-픽업,900,300.0,1200.0,2023년도 전기자동차 부산광역시 모델별 보조금,2023,부산광역시
화물(소형),제인모터스,제인모터스칼마토EV1톤내장탑차,498,166.0,664.0,2023년도 전기자동차 부산광역시 모델별 보조금,2023,부산광역시
화물(소형),파워프라자,봉고3ev PEACE,536,178.0,714.0,2023년도 전기자동차 부산광역시 모델별 보조금,2023,부산광역시
화물(소형),파워프라자,봉고3ev PEACE 더블캡,437,145.0,582.0,2023년도 전기자동차 부산광역시 모델별 보조금,2023,부산광역시
화물(소형),현대자동차,포터Ⅱ 일렉트릭(23MY),1200,400.0,1600.0,2023년도 전기자동차 부산광역시 모델별 보조금,2023,부산광역시
화물(소형),현대자동차,포터Ⅱ 일렉트릭(24MY),1200,400.0,1600.0,2023년도 전기자동차 부산광역시 모델별 보조금,2023,부산광역시
화물(소형),기아,봉고 전기차,1200,400.0,1600.0,2023년도 전기자동차 부산광역시 모델별 보조금,2023,부산광역시
화물(소형),기아,봉고 전기차 냉동탑차,1400,400.0,1800.0,2023년도 전기자동차 부산광역시 모델별 보조금,2023,부산광역시
화물(소형),기아,봉고 전기차 저상형 냉동탑차,1400,400.0,1800.0,2023년도 전기자동차 부산광역시 모델별 보조금,2023,부산광역시
화물(소형),일진정공,일진무시동전기냉동탑차(149.9km),1053,351.0,1404.0,2023년도 전기자동차 부산광역시 모델별 보조금,2023,부산광역시
화물(소형),일진정공,일진무시동전기냉동탑차(186.1km),1321,400.0,1721.0,2023년도 전기자동차 부산광역시 모델별 보조금,2023,부산광역시
화물(소형),일진정공,일진무시동전기냉동탑차(봉고),1460,400.0,1860.0,2023년도 전기자동차 부산광역시 모델별 보조금,2023,부산광역시
화물(소형),일진정공,일진무시동전기냉동탑차(포터),1444,400.0,1844.0,2023년도 전기자동차 부산광역시 모델별 보조금,2023,부산광역시
화물(소형),루트17,다니고밴,784,261.0,1045.0,2023년도 전기자동차 부산광역시 모델별 보조금,2023,부산광역시
화물(소형),루트17,다니고C(0.8톤 전기트럭),1112,370.0,1482.0,2023년도 전기자동차 부산광역시 모델별 보조금,2023,부산광역시
화물(소형),루트17,다니고C2(0.8톤 전기트럭),909,303.0,1212.0,2023년도 전기자동차 부산광역시 모델별 보조금,2023,부산광역시
화물(소형),루트17,다니고R(전기냉동탑차),1313,400.0,1713.0,2023년도 전기자동차 부산광역시 모델별 보조금,2023,부산광역시
화물(소형),루트17,다니고R2(무시동 전기냉동탑차),1212,400.0,1612.0,2023년도 전기자동차 부산광역시 모델별 보조금,2023,부산광역시
화물(소형),한신자동차,플러스2.0,648,216.0,864.0,2023년도 전기자동차 부산광역시 모델별 보조금,2023,부산광역시
화물(소형),비바모빌리티,(단종)비바,932,310.0,1242.0,2023년도 전기자동차 부산광역시 모델별 보조금,2023,부산광역시
화물(소형),비바모빌리티,(단종)브라보,802,267.0,1069.0,2023년도 전기자동차 부산광역시 모델별 보조금,2023,부산광역시
화물(소형),이브이케이엠씨,(단종)MASADA 2밴,1124,374.0,1498.0,2023년도 전기자동차 부산광역시 모델별 보조금,2023,부산광역시
화물(소형),이브이케이엠씨,(단종)MASADA 4밴,1025,341.0,1366.0,2023년도 전기자동차 부산광역시 모델별 보조금,2023,부산광역시
화물(소형),이브이케이엠씨,MASADA 픽업,1078,359.0,1437.0,2023년도 전기자동차 부산광역시 모델별 보조금,2023,부산광역시
화물(소형),이브이케이엠씨,MASADA 3세대 2밴,1124,374.0,1498.0,2023년도 전기자동차 부산광역시 모델별 보조금,2023,부산광역시
화물(소형),이브이케이엠씨,MASADA 3세대 4밴,1025,341.0,1366.0,2023년도 전기자동차 부산광역시 모델별 보조금,2023,부산광역시
화물(소형),이브이케이엠씨,MASADA 2밴,1200,400.0,1600.0,2023년도 전기자동차 부산광역시 모델별 보조금,2023,부산광역시
화물(소형),이브이케이엠씨,MASADA 4밴,1200,400.0,1600.0,2023년도 전기자동차 부산광역시 모델별 보조금,2023,부산광역시
화물(소형),경인모터스,경인1톤전기냉동탑차,1151,383.0,1534.0,2023년도 전기자동차 부산광역시 모델별 보조금,2023,부산광역시
화물(소형),제이스모빌리티,(단종)이티밴,1200,400.0,1600.0,2023년도 전기자동차 부산광역시 모델별 보조금,2023,부산광역시
화물(소형),제이스모빌리티,이티밴,1200,400.0,1600.0,2023년도 전기자동차 부산광역시 모델별 보조금,2023,부산광역시
화물(소형),제이스모빌리티,이티4밴,1180,393.0,1573.0,2023년도 전기자동차 부산광역시 모델별 보조금,2023,부산광역시
화물(소형),오텍,오텍 무시동 전기 냉동탑차(봉고),1253,400.0,1653.0,2023년도 전기자동차 부산광역시 모델별 보조금,2023,부산광역시
화물(소형),이엔플러스,이엔1톤롱바디카고,959,319.0,1278.0,2023년도 전기자동차 부산광역시 모델별 보조금,2023,부산광역시
화물(소형),이엔플러스,이엔플러스EV1톤롱바디트럭,1009,336.0,1345.0,2023년도 전기자동차 부산광역시 모델별 보조금,2023,부산광역시
화물(소형),GS글로벌,T4K,1200,400.0,1600.0,2023년도 전기자동차 부산광역시 모델별 보조금,2023,부산광역시
