차종,제조사,모델명,국비 (만원),지방비 (만원),보조금 (만원),text,연도,행정구역
일반승용(수소),현대자동차,넥쏘,2250,1200,3450,2021년도 수소자동차 부산광역시 모델별 보조금,2021,부산광역시
승합(수소 대형),현대자동차,일렉시티 FCEV,15000,15000,30000,2021년도 수소자동차 부산광역시 모델별 보조금,2021,부산광역시
일반승용(수소),현대자동차,넥쏘,2250,1000,3250,2021년도 수소자동차 대구광역시 모델별 보조금,2021,대구광역시
승합(수소 대형),현대자동차,일렉시티 FCEV,15000,0,15000,2021년도 수소자동차 대구광역시 모델별 보조금,2021,대구광역시
일반승용(수소),현대자동차,넥쏘,2250,1000,3250,2021년도 수소자동차 인천광역시 모델별 보조금,2021,인천광역시
승합(수소 대형),현대자동차,일렉시티 FCEV,15000,0,15000,2021년도 수소자동차 인천광역시 모델별 보조금,2021,인천광역시
일반승용(수소),현대자동차,넥쏘,2250,1000,3250,2021년도 수소자동차 광주광역시 모델별 보조금,2021,광주광역시
승합(수소 대형),현대자동차,일렉시티 FCEV,15000,0,15000,2021년도 수소자동차 광주광역시 모델별 보조금,2021,광주광역시
일반승용(수소),현대자동차,넥쏘,2250,1000,3250,2021년도 수소자동차 대전광역시 모델별 보조금,2021,대전광역시
승합(수소 대형),현대자동차,일렉시티 FCEV,15000,0,15000,2021년도 수소자동차 대전광역시 모델별 보조금,2021,대전광역시
일반승용(수소),현대자동차,넥쏘,2250,1150,3400,2021년도 수소자동차 울산광역시 모델별 보조금,2021,울산광역시
승합(수소 대형),현대자동차,일렉시티 FCEV,15000,0,15000,2021년도 수소자동차 울산광역시 모델별 보조금,2021,울산광역시
일반승용(수소),현대자동차,넥쏘,2250,1000,3250,2021년도 수소자동차 세종특별자치시 모델별 보조금,2021,세종특별자치시
승합(수소 대형),현대자동차,일렉시티 FCEV,15000,0,15000,2021년도 수소자동차 세종특별자치시 모델별 보조금,2021,세종특별자치시
일반승용(수소),현대자동차,넥쏘,2250,1000,3250,2021년도 수소자동차 수원시 모델별 보조금,2021,수원시
승합(수소 대형),현대자동차,일렉시티 FCEV,15000,15000,30000,2021년도 수소자동차 수원시 모델별 보조금,2021,수원시
일반승용(수소),현대자동차,넥쏘,2250,1000,3250,2021년도 수소자동차 성남시 모델별 보조금,2021,성남시
승합(수소 대형),현대자동차,일렉시티 FCEV,15000,0,15000,2021년도 수소자동차 성남시 모델별 보조금,2021,성남시
일반승용(수소),현대자동차,넥쏘,2250,1000,3250,2021년도 수소자동차 의정부시 모델별 보조금,2021,의정부시
승합(수소 대형),현대자동차,일렉시티 FCEV,15000,0,15000,2021년도 수소자동차 의정부시 모델별 보조금,2021,의정부시
일반승용(수소),현대자동차,넥쏘,2250,1000,3250,2021년도 수소자동차 안양시 모델별 보조금,2021,안양시
승합(수소 대형),현대자동차,일렉시티 FCEV,15000,0,15000,2021년도 수소자동차 안양시 모델별 보조금,2021,안양시
일반승용(수소),현대자동차,넥쏘,2250,1000,3250,2021년도 수소자동차 부천시 모델별 보조금,2021,부천시
승합(수소 대형),현대자동차,일렉시티 FCEV,15000,0,15000,2021년도 수소자동차 부천시 모델별 보조금,2021,부천시
일반승용(수소),현대자동차,넥쏘,2250,1000,3250,2021년도 수소자동차 광명시 모델별 보조금,2021,광명시
승합(수소 대형),현대자동차,일렉시티 FCEV,15000,0,15000,2021년도 수소자동차 광명시 모델별 보조금,2021,광명시
일반승용(수소),현대자동차,넥쏘,2250,1250,3500,2021년도 수소자동차 평택시 모델별 보조금,2021,평택시
승합(수소 대형),현대자동차,일렉시티 FCEV,15000,15000,30000,2021년도 수소자동차 평택시 모델별 보조금,2021,평택시
일반승용(수소),현대자동차,넥쏘,2250,1000,3250,2021년도 수소자동차 안산시 모델별 보조금,2021,안산시
승합(수소 대형),현대자동차,일렉시티 FCEV,15000,0,15000,2021년도 수소자동차 안산시 모델별 보조금,2021,안산시
일반승용(수소),현대자동차,넥쏘,2250,1000,3250,2021년도 수소자동차 고양시 모델별 보조금,2021,고양시
승합(수소 대형),현대자동차,일렉시티 FCEV,15000,0,15000,2021년도 수소자동차 고양시 모델별 보조금,2021,고양시
일반승용(수소),현대자동차,넥쏘,2250,1000,3250,2021년도 수소자동차 과천시 모델별 보조금,2021,과천시
승합(수소 대형),현대자동차,일렉시티 FCEV,15000,0,15000,2021년도 수소자동차 과천시 모델별 보조금,2021,과천시
일반승용(수소),현대자동차,넥쏘,2250,1000,3250,2021년도 수소자동차 구리시 모델별 보조금,2021,구리시
승합(수소 대형),현대자동차,일렉시티 FCEV,15000,0,15000,2021년도 수소자동차 구리시 모델별 보조금,2021,구리시
일반승용(수소),현대자동차,넥쏘,2250,1000,3250,2021년도 수소자동차 남양주시 모델별 보조금,2021,남양주시
승합(수소 대형),현대자동차,일렉시티 FCEV,15000,0,15000,2021년도 수소자동차 남양주시 모델별 보조금,2021,남양주시
일반승용(수소),현대자동차,넥쏘,2250,1000,3250,2021년도 수소자동차 오산시 모델별 보조금,2021,오산시
승합(수소 대형),현대자동차,일렉시티 FCEV,15000,0,15000,2021년도 수소자동차 오산시 모델별 보조금,2021,오산시
일반승용(수소),현대자동차,넥쏘,2250,1000,3250,2021년도 수소자동차 시흥시 모델별 보조금,2021,시흥시
승합(수소 대형),현대자동차,일렉시티 FCEV,15000,0,15000,2021년도 수소자동차 시흥시 모델별 보조금,2021,시흥시
일반승용(수소),현대자동차,넥쏘,2250,1000,3250,2021년도 수소자동차 군포시 모델별 보조금,2021,군포시
