차종,제조사,모델명,국비 (만원),지방비 (만원),보조금 (만원),text,연도,행정구역
일반승용,현대자동차,Electrified G80 AWD 19인치,310,169.0,479.0,2024년도 전기자동차 부산광역시 모델별 보조금,2024,부산광역시
일반승용,현대자동차,GV60 스탠다드 2WD 19인치,325,175.0,500.0,2024년도 전기자동차 부산광역시 모델별 보조금,2024,부산광역시
일반승용,현대자동차,GV60 스탠다드 AWD 19인치,310,169.0,479.0,2024년도 전기자동차 부산광역시 모델별 보조금,2024,부산광역시
일반승용,현대자동차,GV60 스탠다드 AWD 20인치,300,165.0,465.0,2024년도 전기자동차 부산광역시 모델별 보조금,2024,부산광역시
일반승용,현대자동차,GV60 퍼포먼스 AWD 21인치,285,159.0,444.0,2024년도 전기자동차 부산광역시 모델별 보조금,2024,부산광역시
일반승용,현대자동차,Electrified GV70 AWD 20인치,295,163.0,458.0,2024년도 전기자동차 부산광역시 모델별 보조금,2024,부산광역시
일반승용,현대자동차,Electrified GV70 AWD 19인치,310,169.0,479.0,2024년도 전기자동차 부산광역시 모델별 보조금,2024,부산광역시
일반승용,현대자동차,아이오닉5 2WD 롱레인지 19인치,706,300.0,1006.0,2024년도 전기자동차 부산광역시 모델별 보조금,2024,부산광역시
일반승용,현대자동차,아이오닉5 2WD 롱레인지 19인치 빌트인 캠 미적용,706,300.0,1006.0,2024년도 전기자동차 부산광역시 모델별 보조금,2024,부산광역시
일반승용,현대자동차,아이오닉5 2WD 롱레인지 20인치,689,293.0,982.0,2024년도 전기자동차 부산광역시 모델별 보조금,2024,부산광역시
일반승용,현대자동차,아이오닉5 AWD 롱레인지 19인치,689,293.0,982.0,2024년도 전기자동차 부산광역시 모델별 보조금,2024,부산광역시
일반승용,현대자동차,아이오닉5 AWD 롱레인지 20인치,661,282.0,943.0,2024년도 전기자동차 부산광역시 모델별 보조금,2024,부산광역시
일반승용,현대자동차,아이오닉5 2WD 스탠다드 19인치,646,277.0,923.0,2024년도 전기자동차 부산광역시 모델별 보조금,2024,부산광역시
일반승용,현대자동차,아이오닉5 AWD 스탠다드 19인치,622,268.0,890.0,2024년도 전기자동차 부산광역시 모델별 보조금,2024,부산광역시
일반승용,현대자동차,아이오닉6 스탠다드 2WD 18인치,739,298.0,1037.0,2024년도 전기자동차 부산광역시 모델별 보조금,2024,부산광역시
일반승용,현대자동차,아이오닉6 롱레인지 2WD 18인치,746,300.0,1046.0,2024년도 전기자동차 부산광역시 모델별 보조금,2024,부산광역시
