차종,제조사,모델명,국비 (만원),지방비 (만원),보조금 (만원),text,연도,행정구역
일반승용(수소),현대자동차,넥쏘,2250,1250,3500,2023년도 수소자동차 평택시 모델별 보조금,2023,평택시
화물(수소 대형),현대자동차,엑시언트 수소전기트럭 윙바디,25000,20000,45000,2023년도 수소자동차 평택시 모델별 보조금,2023,평택시
승합(수소 대형),현대자동차,일렉시티 FCEV,21000,9000,30000,2023년도 수소자동차 평택시 모델별 보조금,2023,평택시
승합(수소 대형),현대자동차,유니버스 수소전기버스,26000,9000,35000,2023년도 수소자동차 평택시 모델별 보조금,2023,평택시
일반승용(수소),현대자동차,넥쏘,2250,1000,3250,2023년도 수소자동차 동두천시 모델별 보조금,2023,동두천시
화물(수소 대형),현대자동차,엑시언트 수소전기트럭 윙바디,25000,0,25000,2023년도 수소자동차 동두천시 모델별 보조금,2023,동두천시
승합(수소 대형),현대자동차,일렉시티 FCEV,21000,0,21000,2023년도 수소자동차 동두천시 모델별 보조금,2023,동두천시
승합(수소 대형),현대자동차,유니버스 수소전기버스,26000,0,26000,2023년도 수소자동차 동두천시 모델별 보조금,2023,동두천시
일반승용(수소),현대자동차,넥쏘,2250,1000,3250,2023년도 수소자동차 안산시 모델별 보조금,2023,안산시
화물(수소 대형),현대자동차,엑시언트 수소전기트럭 윙바디,25000,0,25000,2023년도 수소자동차 안산시 모델별 보조금,2023,안산시
승합(수소 대형),현대자동차,일렉시티 FCEV,21000,9000,30000,2023년도 수소자동차 안산시 모델별 보조금,2023,안산시
승합(수소 대형),현대자동차,유니버스 수소전기버스,26000,0,26000,2023년도 수소자동차 안산시 모델별 보조금,2023,안산시
일반승용(수소),현대자동차,넥쏘,2250,1000,3250,2023년도 수소자동차 고양시 모델별 보조금,2023,고양시
화물(수소 대형),현대자동차,엑시언트 수소전기트럭 윙바디,25000,0,25000,2023년도 수소자동차 고양시 모델별 보조금,2023,고양시
승합(수소 대형),현대자동차,일렉시티 FCEV,21000,0,21000,2023년도 수소자동차 고양시 모델별 보조금,2023,고양시
승합(수소 대형),현대자동차,유니버스 수소전기버스,26000,0,26000,2023년도 수소자동차 고양시 모델별 보조금,2023,고양시
일반승용(수소),현대자동차,넥쏘,2250,1000,3250,2023년도 수소자동차 과천시 모델별 보조금,2023,과천시
화물(수소 대형),현대자동차,엑시언트 수소전기트럭 윙바디,25000,0,25000,2023년도 수소자동차 과천시 모델별 보조금,2023,과천시
승합(수소 대형),현대자동차,일렉시티 FCEV,21000,0,21000,2023년도 수소자동차 과천시 모델별 보조금,2023,과천시
승합(수소 대형),현대자동차,유니버스 수소전기버스,26000,0,26000,2023년도 수소자동차 과천시 모델별 보조금,2023,과천시
일반승용(수소),현대자동차,넥쏘,2250,1000,3250,2023년도 수소자동차 구리시 모델별 보조금,2023,구리시
화물(수소 대형),현대자동차,엑시언트 수소전기트럭 윙바디,25000,0,25000,2023년도 수소자동차 구리시 모델별 보조금,2023,구리시
승합(수소 대형),현대자동차,일렉시티 FCEV,21000,0,21000,2023년도 수소자동차 구리시 모델별 보조금,2023,구리시
승합(수소 대형),현대자동차,유니버스 수소전기버스,26000,0,26000,2023년도 수소자동차 구리시 모델별 보조금,2023,구리시
일반승용(수소),현대자동차,넥쏘,2250,1000,3250,2023년도 수소자동차 남양주시 모델별 보조금,2023,남양주시
화물(수소 대형),현대자동차,엑시언트 수소전기트럭 윙바디,25000,0,25000,2023년도 수소자동차 남양주시 모델별 보조금,2023,남양주시
승합(수소 대형),현대자동차,일렉시티 FCEV,21000,0,21000,2023년도 수소자동차 남양주시 모델별 보조금,2023,남양주시
승합(수소 대형),현대자동차,유니버스 수소전기버스,26000,0,26000,2023년도 수소자동차 남양주시 모델별 보조금,2023,남양주시
일반승용(수소),현대자동차,넥쏘,2250,1000,3250,2023년도 수소자동차 오산시 모델별 보조금,2023,오산시
화물(수소 대형),현대자동차,엑시언트 수소전기트럭 윙바디,25000,0,25000,2023년도 수소자동차 오산시 모델별 보조금,2023,오산시
화물(수소 대형),에이엠특장,에이엠수소10톤암롤트럭,72000,0,72000,2023년도 수소자동차 오산시 모델별 보조금,2023,오산시
화물(수소 대형),에이엠특장,에이엠수소9.3톤압축식진개차,72000,0,72000,2023년도 수소자동차 오산시 모델별 보조금,2023,오산시
승합(수소 대형),현대자동차,일렉시티 FCEV,21000,9000,30000,2023년도 수소자동차 오산시 모델별 보조금,2023,오산시
승합(수소 대형),현대자동차,유니버스 수소전기버스,26000,9000,35000,2023년도 수소자동차 오산시 모델별 보조금,2023,오산시
일반승용(수소),현대자동차,넥쏘,2250,1000,3250,2023년도 수소자동차 시흥시 모델별 보조금,2023,시흥시
화물(수소 대형),현대자동차,엑시언트 수소전기트럭 윙바디,25000,0,25000,2023년도 수소자동차 시흥시 모델별 보조금,2023,시흥시
승합(수소 대형),현대자동차,일렉시티 FCEV,21000,0,21000,2023년도 수소자동차 시흥시 모델별 보조금,2023,시흥시
승합(수소 대형),현대자동차,유니버스 수소전기버스,26000,0,26000,2023년도 수소자동차 시흥시 모델별 보조금,2023,시흥시
일반승용(수소),현대자동차,넥쏘,2250,1000,3250,2023년도 수소자동차 군포시 모델별 보조금,2023,군포시
화물(수소 대형),현대자동차,엑시언트 수소전기트럭 윙바디,25000,20000,45000,2023년도 수소자동차 군포시 모델별 보조금,2023,군포시
승합(수소 대형),현대자동차,일렉시티 FCEV,21000,0,21000,2023년도 수소자동차 군포시 모델별 보조금,2023,군포시
승합(수소 대형),현대자동차,유니버스 수소전기버스,26000,0,26000,2023년도 수소자동차 군포시 모델별 보조금,2023,군포시
일반승용(수소),현대자동차,넥쏘,2250,1000,3250,2023년도 수소자동차 의왕시 모델별 보조금,2023,의왕시
화물(수소 대형),현대자동차,엑시언트 수소전기트럭 윙바디,25000,0,25000,2023년도 수소자동차 의왕시 모델별 보조금,2023,의왕시
승합(수소 대형),현대자동차,일렉시티 FCEV,21000,0,21000,2023년도 수소자동차 의왕시 모델별 보조금,2023,의왕시
승합(수소 대형),현대자동차,유니버스 수소전기버스,26000,0,26000,2023년도 수소자동차 의왕시 모델별 보조금,2023,의왕시
일반승용(수소),현대자동차,넥쏘,2250,1000,3250,2023년도 수소자동차 하남시 모델별 보조금,2023,하남시
화물(수소 대형),현대자동차,엑시언트 수소전기트럭 윙바디,25000,0,25000,2023년도 수소자동차 하남시 모델별 보조금,2023,하남시
승합(수소 대형),현대자동차,일렉시티 FCEV,21000,0,21000,2023년도 수소자동차 하남시 모델별 보조금,2023,하남시
승합(수소 대형),현대자동차,유니버스 수소전기버스,26000,0,26000,2023년도 수소자동차 하남시 모델별 보조금,2023,하남시
일반승용(수소),현대자동차,넥쏘,2250,1000,3250,2023년도 수소자동차 용인시 모델별 보조금,2023,용인시
화물(수소 대형),현대자동차,엑시언트 수소전기트럭 윙바디,25000,0,25000,2023년도 수소자동차 용인시 모델별 보조금,2023,용인시
승합(수소 대형),현대자동차,일렉시티 FCEV,21000,9000,30000,2023년도 수소자동차 용인시 모델별 보조금,2023,용인시
승합(수소 대형),현대자동차,유니버스 수소전기버스,26000,9000,35000,2023년도 수소자동차 용인시 모델별 보조금,2023,용인시
일반승용(수소),현대자동차,넥쏘,2250,1000,3250,2023년도 수소자동차 파주시 모델별 보조금,2023,파주시
화물(수소 대형),현대자동차,엑시언트 수소전기트럭 윙바디,25000,0,25000,2023년도 수소자동차 파주시 모델별 보조금,2023,파주시
승합(수소 대형),현대자동차,일렉시티 FCEV,21000,0,21000,2023년도 수소자동차 파주시 모델별 보조금,2023,파주시
승합(수소 대형),현대자동차,유니버스 수소전기버스,26000,0,26000,2023년도 수소자동차 파주시 모델별 보조금,2023,파주시
일반승용(수소),현대자동차,넥쏘,2250,1000,3250,2023년도 수소자동차 이천시 모델별 보조금,2023,이천시
화물(수소 대형),현대자동차,엑시언트 수소전기트럭 윙바디,25000,0,25000,2023년도 수소자동차 이천시 모델별 보조금,2023,이천시
승합(수소 대형),현대자동차,일렉시티 FCEV,21000,0,21000,2023년도 수소자동차 이천시 모델별 보조금,2023,이천시
승합(수소 대형),현대자동차,유니버스 수소전기버스,26000,9000,35000,2023년도 수소자동차 이천시 모델별 보조금,2023,이천시
일반승용(수소),현대자동차,넥쏘,2250,1250,3500,2023년도 수소자동차 안성시 모델별 보조금,2023,안성시
화물(수소 대형),현대자동차,엑시언트 수소전기트럭 윙바디,25000,0,25000,2023년도 수소자동차 안성시 모델별 보조금,2023,안성시
승합(수소 대형),현대자동차,일렉시티 FCEV,21000,0,21000,2023년도 수소자동차 안성시 모델별 보조금,2023,안성시
승합(수소 대형),현대자동차,유니버스 수소전기버스,26000,0,26000,2023년도 수소자동차 안성시 모델별 보조금,2023,안성시
일반승용(수소),현대자동차,넥쏘,2250,1000,3250,2023년도 수소자동차 김포시 모델별 보조금,2023,김포시
화물(수소 대형),현대자동차,엑시언트 수소전기트럭 윙바디,25000,0,25000,2023년도 수소자동차 김포시 모델별 보조금,2023,김포시
승합(수소 대형),현대자동차,일렉시티 FCEV,21000,0,21000,2023년도 수소자동차 김포시 모델별 보조금,2023,김포시
승합(수소 대형),현대자동차,유니버스 수소전기버스,26000,0,26000,2023년도 수소자동차 김포시 모델별 보조금,2023,김포시
일반승용(수소),현대자동차,넥쏘,2250,1250,3500,2023년도 수소자동차 화성시 모델별 보조금,2023,화성시
화물(수소 대형),현대자동차,엑시언트 수소전기트럭 윙바디,25000,0,25000,2023년도 수소자동차 화성시 모델별 보조금,2023,화성시
승합(수소 대형),현대자동차,일렉시티 FCEV,21000,0,21000,2023년도 수소자동차 화성시 모델별 보조금,2023,화성시
승합(수소 대형),현대자동차,유니버스 수소전기버스,26000,0,26000,2023년도 수소자동차 화성시 모델별 보조금,2023,화성시
일반승용(수소),현대자동차,넥쏘,2250,1000,3250,2023년도 수소자동차 광주시 모델별 보조금,2023,광주시
화물(수소 대형),현대자동차,엑시언트 수소전기트럭 윙바디,25000,0,25000,2023년도 수소자동차 광주시 모델별 보조금,2023,광주시
승합(수소 대형),현대자동차,일렉시티 FCEV,21000,0,21000,2023년도 수소자동차 광주시 모델별 보조금,2023,광주시
승합(수소 대형),현대자동차,유니버스 수소전기버스,26000,0,26000,2023년도 수소자동차 광주시 모델별 보조금,2023,광주시
일반승용(수소),현대자동차,넥쏘,2250,1000,3250,2023년도 수소자동차 양주시 모델별 보조금,2023,양주시
화물(수소 대형),현대자동차,엑시언트 수소전기트럭 윙바디,25000,0,25000,2023년도 수소자동차 양주시 모델별 보조금,2023,양주시
승합(수소 대형),현대자동차,일렉시티 FCEV,21000,11500,32500,2023년도 수소자동차 양주시 모델별 보조금,2023,양주시
승합(수소 대형),현대자동차,유니버스 수소전기버스,26000,0,26000,2023년도 수소자동차 양주시 모델별 보조금,2023,양주시
일반승용(수소),현대자동차,넥쏘,2250,1000,3250,2023년도 수소자동차 포천시 모델별 보조금,2023,포천시
화물(수소 대형),현대자동차,엑시언트 수소전기트럭 윙바디,25000,0,25000,2023년도 수소자동차 포천시 모델별 보조금,2023,포천시
승합(수소 대형),현대자동차,일렉시티 FCEV,21000,0,21000,2023년도 수소자동차 포천시 모델별 보조금,2023,포천시
승합(수소 대형),현대자동차,유니버스 수소전기버스,26000,0,26000,2023년도 수소자동차 포천시 모델별 보조금,2023,포천시
일반승용(수소),현대자동차,넥쏘,2250,1000,3250,2023년도 수소자동차 여주시 모델별 보조금,2023,여주시
